Category,Reviews,Installs,NUM_INSTALLED,NUM_CATEGORY,
ART_AND_DESIGN,159,"10,000",10000,1,
ART_AND_DESIGN,967,"500,000",500000,1,
ART_AND_DESIGN,87510,"5,000,000",5000000,1,
ART_AND_DESIGN,215644,"50,000,000",50000000,1,
ART_AND_DESIGN,967,"100,000",100000,1,
ART_AND_DESIGN,167,"50,000",50000,1,
ART_AND_DESIGN,178,"50,000",50000,1,
ART_AND_DESIGN,36815,"1,000,000",1000000,1,
ART_AND_DESIGN,13791,"1,000,000",1000000,1,
ART_AND_DESIGN,121,"10,000",10000,1,
ART_AND_DESIGN,13880,"1,000,000",1000000,1,
ART_AND_DESIGN,8788,"1,000,000",1000000,1,
ART_AND_DESIGN,44829,"10,000,000",10000000,1,
ART_AND_DESIGN,4326,"100,000",100000,1,
ART_AND_DESIGN,1518,"100,000",100000,1,
ART_AND_DESIGN,55,"5,000",5000,1,
ART_AND_DESIGN,3632,"500,000",500000,1,
ART_AND_DESIGN,27,"10,000",10000,1,
ART_AND_DESIGN,194216,"5,000,000",5000000,1,
ART_AND_DESIGN,224399,10000000,10000000,1,
ART_AND_DESIGN,450,"100,000",100000,1,
ART_AND_DESIGN,654,"100,000",100000,1,
ART_AND_DESIGN,7699,"500,000",500000,1,
ART_AND_DESIGN,61,"100,000",100000,1,
ART_AND_DESIGN,118,"50,000",50000,1,
ART_AND_DESIGN,192,"10,000",10000,1,
ART_AND_DESIGN,20260,"500,000",500000,1,
ART_AND_DESIGN,203,"100,000",100000,1,
ART_AND_DESIGN,136,"10,000",10000,1,
ART_AND_DESIGN,223,"100,000",100000,1,
ART_AND_DESIGN,1120,"100,000",100000,1,
ART_AND_DESIGN,227,"50,000",50000,1,
ART_AND_DESIGN,5035,"100,000",100000,1,
ART_AND_DESIGN,1015,"100,000",100000,1,
ART_AND_DESIGN,353,"10,000",10000,1,
ART_AND_DESIGN,564,"100,000",100000,1,
ART_AND_DESIGN,8145,"500,000",500000,1,
ART_AND_DESIGN,36639,"5,000,000",5000000,1,
ART_AND_DESIGN,158,"10,000",10000,1,
ART_AND_DESIGN,591,"500,000",500000,1,
ART_AND_DESIGN,117,"10,000",10000,1,
