category,reviews,installs
GAME,4447388,100000000
GAME,27722264,1000000000
GAME,22426677,500000000
GAME,254258,10000000
GAME,148897,10000000
GAME,369203,50000000
GAME,5234162,100000000
GAME,23133508,100000000
GAME,8118609,500000000
GAME,10485308,500000000
GAME,1497361,100000000
GAME,59800,5000000
GAME,2610526,100000000
GAME,4066989,100000000
GAME,3778921,100000000
GAME,6198563,100000000
GAME,10306,1000000
GAME,44891723,100000000
GAME,1000417,50000000
GAME,17039,5000000
GAME,685981,100000000
GAME,10393,1000000
GAME,14198297,100000000
GAME,592068,50000000
GAME,1732263,50000000
GAME,295241,10000000
GAME,1135631,50000000
GAME,5566669,100000000
GAME,1295557,100000000
GAME,270687,10000000
GAME,2157930,10000000
GAME,506275,10000000
GAME,4920817,100000000
GAME,23005,5000000
GAME,68057,10000000
GAME,1300490,50000000
GAME,8923587,100000000
GAME,4128732,50000000
GAME,42053,10000000
GAME,257724,10000000
GAME,990491,10000000
GAME,10216538,100000000
GAME,7614130,100000000
GAME,760628,10000000
GAME,9881829,100000000
GAME,2123381,100000000
GAME,7671249,100000000
GAME,27723193,1000000000
GAME,4447346,100000000
GAME,10485334,500000000
GAME,14198602,100000000
GAME,44891723,100000000
GAME,22428456,500000000
GAME,4066980,100000000
GAME,3197865,100000000
GAME,1351068,10000000
GAME,5418675,100000000
GAME,9881908,100000000
GAME,148895,10000000
GAME,1889250,50000000
GAME,183846,10000000
GAME,230710,10000000
GAME,295305,10000000
GAME,6198880,100000000
GAME,2157930,10000000
GAME,5465624,100000000
GAME,59854,5000000
GAME,1534466,50000000
GAME,23134775,100000000
GAME,14891223,500000000
GAME,7672495,100000000
GAME,1137271,50000000
GAME,506275,10000000
GAME,2610622,100000000
GAME,990586,10000000
GAME,10354,1000000
GAME,8118937,500000000
GAME,4921122,100000000
GAME,18985,5000000
GAME,655067,10000000
GAME,7614271,100000000
GAME,10434,1000000
GAME,5234825,100000000
GAME,1385093,100000000
GAME,2698348,100000000
GAME,1125017,10000000
GAME,9882639,100000000
GAME,5566805,100000000
GAME,74673,10000000
GAME,5387639,100000000
GAME,2750410,100000000
GAME,1295606,100000000
GAME,461137,10000000
GAME,946926,50000000
GAME,9305,1000000
GAME,4448791,100000000
GAME,1498648,100000000
GAME,27724094,1000000000
GAME,22428456,500000000
GAME,1351089,10000000
GAME,360630,50000000
GAME,1137267,50000000
GAME,14200344,100000000
GAME,7672495,100000000
GAME,5234810,100000000
GAME,6074334,100000000
GAME,8118937,500000000
GAME,1000417,50000000
GAME,592282,50000000
GAME,1535084,50000000
GAME,8118880,100000000
GAME,10424925,100000000
GAME,230727,10000000
GAME,37023,10000000
GAME,422244,50000000
GAME,98123,10000000
GAME,21262,1000000
GAME,118253,10000000
GAME,141529,5000000
GAME,70226,5000000
GAME,2251012,100000000
GAME,30253,1000000
GAME,15763,1000000
GAME,84911,10000000
GAME,46416,10000000
GAME,946926,50000000
GAME,7196,500000
GAME,48256,1000000
GAME,6427773,100000000
GAME,25825,5000000
GAME,55380,5000000
GAME,148177,10000000
GAME,3715656,50000000
GAME,1841061,50000000
GAME,101686,10000000
GAME,275447,10000000
GAME,174755,10000000
GAME,4578476,50000000
GAME,145353,10000000
GAME,1499373,100000000
GAME,531458,5000000
GAME,3714270,50000000
GAME,195558,10000000
GAME,29940,1000000
GAME,230727,10000000
GAME,41975,1000000
GAME,216675,10000000
GAME,2311785,10000000
GAME,165888,5000000
GAME,541144,10000000
GAME,1107310,10000000
GAME,29168,1000000
GAME,189773,5000000
GAME,337752,5000000
GAME,102107,5000000
GAME,3093358,10000000
GAME,42079,5000000
GAME,240416,5000000
GAME,32506,1000000
GAME,70747,5000000
GAME,358817,10000000
GAME,15403,1000000
GAME,38957,1000000
